,index,SNR,species,lead,planet,observation,instrument,year,detection?,analysis method,new data?,analysis type,tellurics,url,VMR,VMR_err1,VMR_err2
125,0,9.0,Na,Santos,WASP-127 b,transit,CARMENES,2020,,,,,,,,,
126,0,0.0,H alpha,Cauley,WASP-33 b,transit,PEPSI,2021,,,,,,,,,
127,0,3.2,Na,deibert,HAT-P-12 b,transit,HDS,2019,,,,,,,,,
128,0,9.0,K,keles,HD 189733 b,transit,PEPSI,2019,,,,,,,,,
129,0,5.2,Fe,cabot,TOI-1518 b,emission,EXPRES,2021,,,,,,,,,
130,1,3.4,Fe+,cabot,TOI-1518 b,emission,EXPRES,2021,,,,,,,,,
131,0,7.9,Na,khalafinejad,WASP-69 b,transit,CARMENES,2021,,,,,,,,,
132,0,4.4,H2O,guilluy,HD 102195 b,emission,GIANO,2018,,,,,,,,,
133,1,4.1,CH4,guilluy,HD 102195 b,emission,GIANO,2018,,,,,,,,,
134,0,25.0,He,guilluy,HD 189733 b,transit,GIARPS,2020,,,,,,,,,
135,0,9.6,H2O,guilluy,HD 209458 b,emission,GIANO-B,2020,,,False,parameterized model grid,PCA,https://link.springer.com/content/pdf/10.1007/s10686-021-09824-7.pdf,,,
136,1,5.5,CO,guilluy,HD 209458 b,emission,GIANO-B,2020,,,False,parameterized model grid,PCA,https://link.springer.com/content/pdf/10.1007/s10686-021-09824-7.pdf,,,
137,2,9.9,HCN,guilluy,HD 209458 b,emission,GIANO-B,2020,,,False,parameterized model grid,PCA,https://link.springer.com/content/pdf/10.1007/s10686-021-09824-7.pdf,,,
138,3,5.6,CH4,guilluy,HD 209458 b,emission,GIANO-B,2020,,,False,parameterized model grid,PCA,https://link.springer.com/content/pdf/10.1007/s10686-021-09824-7.pdf,,,
139,4,5.3,NH3,guilluy,HD 209458 b,emission,GIANO-B,2020,,,False,parameterized model grid,PCA,https://link.springer.com/content/pdf/10.1007/s10686-021-09824-7.pdf,,,
140,5,6.1,C2H2,guilluy,HD 209458 b,emission,GIANO-B,2020,,,False,parameterized model grid,PCA,https://link.springer.com/content/pdf/10.1007/s10686-021-09824-7.pdf,,,
142,0,5.1,Fe,F Stangret,WASP-189 b,transit,HARPS-N,2021,,,,,,,,,
143,1,5.4,Fe+,F Stangret,WASP-189 b,transit,HARPS-N,2021,,,,,,,,,
144,2,4.2,Ti,F Stangret,WASP-189 b,transit,HARPS-N,2021,,,,,,,,,
145,3,0.0,H alpha,F Stangret,WASP-189 b,transit,HARPS-N,2021,,,,,,,,,
146,4,0.0,H beta,F Stangret,WASP-189 b,transit,HARPS-N,2021,,,,,,,,,
147,5,0.0,Ca H&K,F Stangret,WASP-189 b,transit,HARPS-N,2021,,,,,,,,,
148,0,0.0,He,nortmann,WASP-69 b,transit,CARMENES,2018,,,,,,,,,
149,0,0.0,He,salz,HD 189733 b,transit,PEPSI,2018,,,,,,,,,
150,0,5.0,Na,casasayas_barris,WASP-69 b,transit,HARPS-N,2017,,,,,,,,,
151,0,0.0,Ca+,casasayas_barris,KELT-20 b,transit,HARPS,2018,,,,,,,,,
152,1,0.0,Fe+,casasayas_barris,KELT-20 b,transit,HARPS,2018,,,,,,,,,
153,2,0.0,Na,casasayas_barris,KELT-20 b,transit,HARPS,2018,,,,,,,,,
154,3,0.0,H,casasayas_barris,KELT-20 b,transit,HARPS,2018,,,,,,,,,
155,0,18.0,He,palle,GJ 3470 b,transit,CARMENES,2020,,,,,,,,,
156,0,0.0,H2O,Brogi,HD 209458 b,transit,CRIRES,2017,False,,False,joint,,https://ui.adsabs.harvard.edu/abs/2017ApJ...839L...2B/abstract,,,
157,1,0.0,CO,Brogi,HD 209458 b,transit,CRIRES,2017,False,,False,joint,,https://ui.adsabs.harvard.edu/abs/2017ApJ...839L...2B/abstract,,,
158,0,0.0,He,Allart,HAT-P-11 b,transit,CARMENES,2018,,,,,,,,,
159,0,0.0,He,allart,WASP-107 b,transit,CARMENES,2018,,,,,,,,,
160,0,0.0,He,alonso_floriano,HD 209458 b,transit,CARMENES,2019,,,,,,,,,
161,0,9.6,H2O,Giacobbe,HD 209458 b,transit,GIANO-B,2021,,,,,,,,,
162,1,5.6,CH4,Giacobbe,HD 209458 b,transit,GIANO-B,2021,,,,,,,,,
163,2,5.3,NH3,Giacobbe,HD 209458 b,transit,GIANO-B,2021,,,,,,,,,
164,3,5.5,CO,Giacobbe,HD 209458 b,transit,GIANO-B,2021,,,,,,,,,
165,4,9.9,HCN,Giacobbe,HD 209458 b,transit,GIANO-B,2021,,,,,,,,,
166,5,6.1,C2H2,Giacobbe,HD 209458 b,transit,GIANO-B,2021,,,,,,,,,
168,0,0.0,He,kirk,WASP-107 b,transit,NIRSPEC,2020,,,,,,,,,
169,0,3.5,Sc+,S Merritt,WASP-121 b,transit,UVES,2021,,,,,,,,,
170,1,3.5,Fe,S Merritt,WASP-121 b,transit,UVES,2021,,,,,,,,,
171,2,3.5, Ca,S Merritt,WASP-121 b,transit,UVES,2021,,,,,,,,,
172,3,3.5,Cr,S Merritt,WASP-121 b,transit,UVES,2021,,,,,,,,,
173,4,3.5,V,S Merritt,WASP-121 b,transit,UVES,2021,,,,,,,,,
174,5,3.5,H,S Merritt,WASP-121 b,transit,UVES,2021,,,,,,,,,
175,6,3.5,K,S Merritt,WASP-121 b,transit,UVES,2021,,,,,,,,,
176,0,0.0,Na,langveld,WASP-69 b,transit,HARPS,2022,,,,,,,,,
177,0,0.0,Na,langveld,HD 189733 b,transit,HARPS,2022,,,,,,,,,
178,0,0.0,Na,langveld,WASP-49 b,transit,HARPS,2022,,,,,,,,,
179,0,0.0,Na,langveld,WASP-79 b,transit,HARPS,2022,,,,,,,,,
180,0,0.0,Na,langveld,KELT-20 b,transit,HARPS,2022,,,,,,,,,
181,0,0.0,Na,langveld,WASP-121 b,transit,HARPS,2022,,,,,,,,,
182,0,0.0,Na,langveld,WASP-189 b,transit,HARPS,2022,,,,,,,,,
183,0,0.0,H2O,Gandhi,HD 209458 b,transit,CRIRES,2019,True,,False,retrieval,,https://ui.adsabs.harvard.edu/abs/2019AJ....158..228G/abstract,,,
184,1,0.0,CO,Gandhi,HD 209458 b,transit,CRIRES,2019,True,,False,retrieval,,https://ui.adsabs.harvard.edu/abs/2019AJ....158..228G/abstract,,,
185,0,0.0,Fe,Gandhi,WASP-76 b,transit,ESPRESSO,2022,True,,False,"retrieval, 2D",,https://ui.adsabs.harvard.edu/abs/2022MNRAS.515..749G/abstract,-4.33,0.26,0.27
186,0,0.0,Na,langveld,KELT-9 b,transit,HARPS,2022,,,,,,,,,
187,0,0.0,H2O,Brogi,HD 209458 b,transit,CRIRES,2019,True,,False,retrieval,,,,,
188,1,0.0,CO,Brogi,HD 209458 b,transit,CRIRES,2019,True,,False,retrieval,,,,,
189,0,0.0,H2O,Brogi,HD 189733 b,transit,CRIRES,2019,True,,False,retrieval,,,,,
190,1,0.0,CO,Brogi,HD 189733 b,transit,CRIRES,2019,True,,False,retrieval,,,,,
191,0,5.5,H2O,Brogi,HD 189733 b,transit,GIANO,2018,,,True,parameterized forward model,,https://ui.adsabs.harvard.edu/abs/2018A%26A...615A..16B/abstract,,,
192,0,0.0,H2O,webb,Tau bootis b,transit,CARMENES,2022,,,,,,,,,
193,0,9.94,H2O,carleo,WASP-80 b,transit,GIANO-B,2022,,,,,,,,,
194,1,4.08,CH4,carleo,WASP-80 b,transit,GIANO-B,2022,,,,,,,,,
195,2,7.73,NH3,carleo,WASP-80 b,transit,GIANO-B,2022,,,,,,,,,
196,3,4.3,HCN,carleo,WASP-80 b,transit,GIANO-B,2022,,,,,,,,,
197,0,6.3,CH4,guilluy,KELT-7 b,transit,horus,2022,,,,,,,,,
198,1,5.4,NH3,guilluy,KELT-7 b,transit,horus,2022,,,,,,,,,
199,2,7.0,CO,guilluy,KELT-7 b,transit,horus,2022,,,,,,,,,
200,3,4.5,C2H2,guilluy,KELT-7 b,transit,horus,2022,,,,,,,,,
201,4,5.0,H2O,guilluy,KELT-7 b,transit,horus,2022,,,,,,,,,
202,0,0.0,Fe,bourrier,WASP-121 b,transit,HARPS,2020,,,,,,,,,
203,0,,H alpha,F Borsa,WASP-33 b,transit,HARPS,2021,,,,,,,,,
204,1,,H beta,F Borsa,WASP-33 b,transit,HARPS,2021,,,,,,,,,
205,0,0.0,H2O,wang,HR 8799c,emission,NIRSPEC,2018,,,,,,,,,
206,0,8.0,Cr,prinoth,WASP-189 b,transit,HARPS,2021,,,,,,,,,
207,1,17.0,Fe,prinoth,WASP-189 b,transit,HARPS,2021,,,,,,,,,
208,2,14.0,Fe,prinoth,WASP-189 b,transit,HARPS,2021,,,,,,,,,
209,3,8.1,Mg,prinoth,WASP-189 b,transit,HARPS,2021,,,,,,,,,
210,4,6.5,Mn,prinoth,WASP-189 b,transit,HARPS,2021,,,,,,,,,
211,5,8.7,Ti,prinoth,WASP-189 b,transit,HARPS,2021,,,,,,,,,
212,6,9.7,Ti+,prinoth,WASP-189 b,transit,HARPS,2021,,,,,,,,,
213,7,5.6,TiO,prinoth,WASP-189 b,transit,HARPS,2021,,,,,,,,,
214,8,6.2,VO,prinoth,WASP-189 b,transit,HARPS,2021,,,,,,,,,
215,9,4.4,Ca,prinoth,WASP-189 b,transit,HARPS,2021,,,,,,,,,
216,10,3.9,Ca+,prinoth,WASP-189 b,transit,HARPS,2021,,,,,,,,,
217,11,3.2,Na,prinoth,WASP-189 b,transit,HARPS,2021,,,,,,,,,
218,12,4.4,Ni,prinoth,WASP-189 b,transit,HARPS,2021,,,,,,,,,
219,13,3.0,Sc,prinoth,WASP-189 b,transit,HARPS,2021,,,,,,,,,
220,0,24.6,H alpha,wyttenbach,KELT-9 b,transit,HARPS,2020,,,,,,,,,
221,0,4.5,Na,wyttenbach,WASP-49 b,transit,HARPS,2017,,,,,,,,,
222,0,0.0,CO,zhang,TYC 8998-760-1 b,transit,SPIRou,2021,,,,,,,,,
223,0,,,Scandariato,51 Peg b,reflected light,"HARPS, HARPS-N",2020,,,True,stellar spectrum,,,,,
224,0,,He,fossati,WASP-80 b,transit,"HARPS-N, GIANO-B",2021,,,True,self-consistent forward models,airmass detrending,https://www.aanda.org/articles/aa/abs/2022/02/aa42336-21/aa42336-21.html,,,
225,0,,H2O,Allart,HD 189733 b,transit,HARPS,2017,,,True,self-consistent forward models,molecfit,https://www.aanda.org/articles/aa/pdf/2017/10/aa30814-17.pdf,,,
226,0,6.6,H2O,alonso-floriano,HD 189733 b,transit,CARMENES,2022,,,True,self-consistent forward models,sysrem,https://www.aanda.org/articles/aa/abs/2019/01/aa34339-18/aa34339-18.html,,,
227,0,0.0,Na,kawauchi,WASP-76 b,transit,HDS,2022,,,True,line-fitting,,https://academic.oup.com/pasj/article-abstract/74/2/225/6516560?login=true,,,
228,0,,,coustenis,51 Peg b,emission,CSHELL,1998,,,True,line-fitting,,https://adsabs.harvard.edu/pdf/1998ASPC..134..296C,,,
230,0,3.0,,martins,51 Peg b,reflected light,CARMENES,2014,,,True,stellar mask,,https://www.aanda.org/articles/aa/abs/2015/04/aa25298-14/aa25298-14.html,,,
231,0,4.8,TiO,nugroho,WASP-33 b,transit,HDS,2017,,,True,parameterized forward model,sysrem,https://ui.adsabs.harvard.edu/abs/2017AJ....154..221N/abstract,,,
232,0,3.0,Na,redfield,HD 189733 b,transit,HRS,2008,,,True,line-fitting,,https://iopscience.iop.org/article/10.1086/527475/pdf,,,
233,0,0.0,Na,Pino,HD 189733 b,transit,HARPS,2018,,,False,parameterized forward model,,https://www.aanda.org/articles/aa/pdf/2018/04/aa31244-17.pdf,,,
234,0,,TiO,Herman,WASP-33 b,emission,ESPaDOnS,2020,,,True,parameterized forward model,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/ab9e77/meta,,,
235,0,,TiO,charbonneau,Tau bootis b,emission,Keck Hires,1999,,,True,stellar spectrum,,https://iopscience.iop.org/article/10.1086/312234/pdf,,,
236,0,0.0,CO,Flagg,CI Tau b,direct imaging,IGRINS,2019,,,True,A0V spectrum,,https://iopscience.iop.org/article/10.3847/2041-8213/ab276d/pdf,,,
237,0,0.0,Na,Borsa,HD 189733 b,transit,HARPS,2018,,,False,stellar mask,,https://www.aanda.org/articles/aa/pdf/2018/09/aa33415-18.pdf,,,
238,0,0.0,Na,Langveld,HD 189733 b,transit,HARPS,2018,,,False,line-fitting,,https://watermark.silverchair.com/stab134.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAt4wggLaBgkqhkiG9w0BBwagggLLMIICxwIBADCCAsAGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMBM2cJ2X9IORpILKRAgEQgIICkVMrNKmiH8LX4E1uSrLFinWSPM21KLDLtgOUCS40Z_e2chejMv6w2WXc7Lv9_pPbd-3rlZqOu68zXtuqGK3Luhu_TDNHPi56druaDdYQpYxtvF4oVfVR1jA13t8BpJnGlepa5S1nh4Vf4YrpxJhK4HBZ0c_VKzxXYfyUEvHaLCurk3_cn4txUSQwMz3LB731T0dClu1seivQAa4isionIMysQDeOJuj3OYevVnhGtvkTcySmMhWbqaUNQ3frh-qlmFWsdzy0-Un223EIethrIzCk6OVrFzG7ArTzqR16PDblEa6GATs5tAfYuaKdgSGCQSnDL_FI7hh_cRZNrunvpYqd82qslRyeGCJESlh7ulm-D-p2Rw7Z00Wl6cpMFzFZwxDK91VBjXEUYNXbYdczkhtwO3LXC4l9GhDFD76kPfsZMRSHnPBtbwu6mquW3zvqTKntu4-BG404PZiKnFYYwu7k8egJyZIdECChUAOlP354LM2Zwmyh4yU8M8frhm5tHXczfGzE5L53T36gvLRk8pU6FLR-ePlSmibewNOFmYBHO5s2toFYtNQVqGvXKAghndcKwqOtTKd1-MZZYpSRbLURzV5ltzgjHMSqYYvhJ0jmV4XI0Dk6W4RreyxQAbtl20todi01K4hcPjxJnKfqzs7LVexl9_hui7Zrzp1NaKgVEEn8OrR6OsQSjtoGrJQ-33IxTkKFhVjkMk_QEN5YRNAkYPoeasX44_aLv3g41X3XP8K61rYzNmxyQP-Q-4NkLbNvPY5d9Qm0jS728YmaisSxAC2lEXhvMkwlOOHmXKkylRPEwYDSGdsBQFNchvMXJ-qLwGgWPD0RBXvLIxVluCqsFwUzLBdWvhVGB0YmdY8Q2w,,,
239,0,,TiO,Merritt,WASP-121 b,transit,HARPS,2020,,,False,parameterized forward models,sysrem,https://www.aanda.org/articles/aa/pdf/2020/04/aa37409-19.pdf,,,
240,1,,VO,Merritt,WASP-121 b,transit,HARPS,2020,,,False,parameterized forward models,sysrem,https://www.aanda.org/articles/aa/pdf/2020/04/aa37409-19.pdf,,,
241,0,,FeH,kesseli,GJ 436 b,transit,CARMENES,2020,,,False,parameterized forward models,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abb59c/pdf,,,
242,0,,FeH,kesseli,HAT-P-11 b,transit,CARMENES,2020,,,False,parameterized forward models,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abb59c/pdf,,,
243,0,4.4,Ti,Ishizuka,HD 149026b,transit,Subaru/IRD,2021,,,True,isothermal forward models,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abdb25/pdf,,,
244,1,2.8,Fe,Ishizuka,HD 149026b,transit,Subaru/IRD,2021,,,True,isothermal forward models,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abdb25/pdf,,,
